language,path,code,comments,blanks,lines
Python,./tests/test_web_analyze_export.py,70,3,30,103
Python,./tests/test_profile_simulator.py,257,30,71,358
Python,./tests/test_config_manager.py,49,2,14,65
Python,./tests/test_cli.py,397,16,69,482
Python,./tests/conftest.py,63,2,19,84
Python,./tests/test_profiler_small_helpers.py,30,1,8,39
Python,./tests/test_cli_generate_report.py,24,2,8,34
Python,./tests/test_export_formatter_more.py,44,6,17,67
Python,./tests/test_cli_errors_more.py,33,6,9,48
Python,./tests/test_parser.py,108,3,27,138
Python,./tests/test_cli_additional_cov.py,96,10,18,124
